model,case_name,time_s,field_rmse,field_mae,coefficient_rmse
KNN,surrVal_001_H0299_obsH0070_x0370,0.0,0.03837779308252868,0.006370391080339784,0.11611451522133637
KNN,surrVal_002_H0325_obsH0052_x0283,0.0,0.04392886776280841,0.007387527953332666,0.14381452718480017
KNN,surrVal_003_H0332_obsH0059_x0322,0.0,0.03787652931228551,0.005996996017281288,0.0880045768273376
KNN,surrVal_004_H0240_obsH0035_x0369,0.0,0.03406308277152658,0.004411088207461272,0.17906063637515712
KNN,surrVal_005_H0322_obsH0057_x0303,0.0,0.040365014203386576,0.006869370508187471,0.07741321208748382
KNN,surrVal_006_H0342_obsH0062_x0366,0.0,0.029304514212706877,0.005550044908519551,0.12920119499005026
KNN,surrVal_007_H0305_obsH0063_x0340,0.0,0.047538187339355414,0.007539977680708448,0.12420457780228197
KNN,surrVal_008_H0275_obsH0066_x0246,0.0,0.031056645434017663,0.0055432345345789325,0.09569325624077103
KNN,surrVal_009_H0359_obsH0038_x0362,0.0,0.02250223704756369,0.00419600495920276,0.07959300382516427
KNN,surrVal_010_H0351_obsH0059_x0293,0.0,0.042480613917344125,0.0062309589787079706,0.06476906243968662
KNN,surrVal_011_H0339_obsH0071_x0292,0.0,0.015352234745089226,0.0031509571909028138,0.04388735382990845
KNN,surrVal_012_H0290_obsH0038_x0258,0.0,0.036081978001187086,0.006002427645344073,0.15806660371200346
KNN,surrVal_013_H0311_obsH0055_x0271,0.0,0.03707998805172518,0.005947597804944464,0.09084064451998809
KNN,surrVal_014_H0269_obsH0068_x0351,0.0,0.032342451714413044,0.005752877233294837,0.1463901205024374
KNN,surrVal_015_H0363_obsH0041_x0240,0.0,0.031925730055217386,0.00471615031973116,0.0611222710572761
KNN,surrVal_016_H0282_obsH0054_x0220,0.0,0.030370460019326407,0.005596999789085677,0.0664740015653988
KNN,surrVal_017_H0262_obsH0069_x0350,0.0,0.04239378393140362,0.006887360956391061,0.17410585490075858
KNN,surrVal_018_H0287_obsH0045_x0288,0.0,0.02081469908753955,0.004070840516468767,0.07173228385177552
KNN,surrVal_019_H0292_obsH0064_x0265,0.0,0.026410860451431088,0.0046285849598095286,0.10781151868517853
KNN,surrVal_020_H0243_obsH0040_x0238,0.0,0.031222896205412357,0.00468334102848119,0.10445012528487643
KNN,surrVal_021_H0245_obsH0042_x0375,0.0,0.018847262405780874,0.0031403719073114945,0.051168850421122986
KNN,surrVal_022_H0293_obsH0052_x0280,0.0,0.03409048896266637,0.005507475497618268,0.17087937189699903
KNN,surrVal_023_H0336_obsH0064_x0309,0.0,0.03225604524187929,0.005519482458030205,0.09612243627335171
KNN,surrVal_024_H0257_obsH0053_x0227,0.0,0.041423349837167084,0.006636857239146083,0.18646308889904353
KNN,surrVal_025_H0248_obsH0057_x0242,0.0,0.021448849016025087,0.003333074096883444,0.07051310231811385
KNN,surrVal_026_H0251_obsH0030_x0253,0.0,0.029280641597553215,0.0047642049389035246,0.13143310162672756
KNN,surrVal_027_H0258_obsH0061_x0348,0.0,0.04181075520032268,0.00673427990597397,0.17807387283748405
KNN,surrVal_028_H0284_obsH0052_x0357,0.0,0.0246613731269191,0.00401798670773271,0.053506615191578205
KNN,surrVal_029_H0346_obsH0066_x0342,0.0,0.04114574953649569,0.005489756722896976,0.08416841308688607
KNN,surrVal_030_H0353_obsH0035_x0286,0.0,0.03972452284603747,0.006105399998659681,0.03986259048921752
KNN,surrVal_031_H0307_obsH0069_x0233,0.0,0.04768448257519351,0.007895642986538588,0.1249226141099363
KNN,surrVal_032_H0344_obsH0050_x0276,0.0,0.025428622451111608,0.004663679976680163,0.12247544212385408
KNN,surrVal_033_H0317_obsH0060_x0336,0.0,0.028453017115331054,0.005434164430733565,0.15266251357502947
KNN,surrVal_034_H0357_obsH0039_x0234,0.0,0.03531961966049245,0.00582319859997378,0.04185629845075733
KNN,surrVal_035_H0327_obsH0068_x0308,0.0,0.04335466416455968,0.007010763811544882,0.10192958392479204
KNN,surrVal_036_H0318_obsH0031_x0379,0.0,0.03049381726717257,0.006584706210919955,0.12547919781308978
KNN,surrVal_037_H0311_obsH0067_x0320,0.0,0.03202278418751349,0.005068961940798146,0.06394215836958926
KNN,surrVal_038_H0321_obsH0047_x0332,0.0,0.03428785166573458,0.005855615443552803,0.061670037386296214
KNN,surrVal_039_H0297_obsH0034_x0301,0.0,0.03072551804159514,0.006074447836212676,0.10115824172080319
KNN,surrVal_040_H0266_obsH0040_x0355,0.0,0.04175521826669484,0.007041879922899306,0.1807272548107873
KNN,surrVal_041_H0264_obsH0063_x0270,0.0,0.045345625541675795,0.007648841565851883,0.1581166650253405
KNN,surrVal_042_H0355_obsH0044_x0360,0.0,0.039219610345416316,0.006334613529628673,0.060855347883265735
KNN,surrVal_043_H0347_obsH0056_x0326,0.0,0.03911103100447127,0.005917098830314772,0.08340882263029276
KNN,surrVal_044_H0272_obsH0045_x0230,0.0,0.042508805561226666,0.006305345668336282,0.22448541096369667
KNN,surrVal_045_H0330_obsH0072_x0333,0.0,0.04372032444884128,0.006093576092780214,0.14589168033745348
KNN,surrVal_046_H0253_obsH0037_x0256,0.0,0.02809304490005548,0.004580639675617563,0.10302996148845883
KNN,surrVal_047_H0276_obsH0045_x0251,0.0,0.03984498261051457,0.006254862399475808,0.17235735674357036
KNN,surrVal_048_H0363_obsH0056_x0328,0.0,0.03032612177223269,0.004783844911627477,0.06530886790120341
KNN,surrVal_049_H0278_obsH0033_x0260,0.0,0.027593561803522827,0.0048566936042259735,0.10338019966111889
KNN,surrVal_050_H0250_obsH0051_x0277,0.0,0.02577580451597101,0.004183953778922926,0.08898365071921994
KNN,surrVal_051_H0328_obsH0058_x0225,0.0,0.043362034143936065,0.007725984730498308,0.14662701715239357
KNN,surrVal_052_H0283_obsH0041_x0316,0.0,0.029822668507444323,0.0047503951063417055,0.07575596518234304
KNN,surrVal_053_H0270_obsH0043_x0296,0.0,0.034057507853152605,0.006221051747302494,0.11893758311540484
KNN,surrVal_054_H0305_obsH0048_x0343,0.0,0.039318530148874896,0.006060042725855145,0.09259099775781669
KNN,surrVal_055_H0314_obsH0032_x0267,0.0,0.014836953418074766,0.0038030649582677855,0.053725271696406784
KNN,surrVal_056_H0296_obsH0047_x0299,0.0,0.030813179203432003,0.005510231009727207,0.11961819045207076
KNN,surrVal_057_H0261_obsH0049_x0313,0.0,0.038253928955380774,0.006246233290424429,0.13541673377458646
KNN,surrVal_058_H0335_obsH0048_x0318,0.0,0.033675492707095966,0.004728576463869291,0.0655966752160854
KNN,surrVal_059_H0348_obsH0036_x0374,0.0,0.03868027822117192,0.006026932452378255,0.02900213296933087
KNN,surrVal_060_H0302_obsH0032_x0248,0.0,0.04508175309126183,0.006956784903079567,0.15486892925386847
KNN,surrVal_001_H0299_obsH0070_x0370,0.025,0.031035418785419152,0.005511961763226684,0.13531651971752412
KNN,surrVal_002_H0325_obsH0052_x0283,0.025,0.03652344592013357,0.0061065620669419375,0.12702517444829797
KNN,surrVal_003_H0332_obsH0059_x0322,0.025,0.03346233161217009,0.005331891583861119,0.08658773272375622
KNN,surrVal_004_H0240_obsH0035_x0369,0.025,0.030486890153658536,0.004118448254147814,0.17518117616568116
KNN,surrVal_005_H0322_obsH0057_x0303,0.025,0.029326174305538858,0.005494579806793614,0.10460795555115637
KNN,surrVal_006_H0342_obsH0062_x0366,0.025,0.02466780016345298,0.004447500554742818,0.13162157616721543
KNN,surrVal_007_H0305_obsH0063_x0340,0.025,0.040435506361620834,0.006191278012505395,0.1526201971362015
KNN,surrVal_008_H0275_obsH0066_x0246,0.025,0.02405084147992053,0.004869961598421279,0.09864542179998267
KNN,surrVal_009_H0359_obsH0038_x0362,0.025,0.022899361529883717,0.0034111668093533814,0.05676420081390238
KNN,surrVal_010_H0351_obsH0059_x0293,0.025,0.035174280056478796,0.004756644854053044,0.059381167890568916
KNN,surrVal_011_H0339_obsH0071_x0292,0.025,0.014534948427483561,0.002777292250532895,0.04048631331440812
KNN,surrVal_012_H0290_obsH0038_x0258,0.025,0.030111173571636465,0.005018547545737131,0.1591612675970664
KNN,surrVal_013_H0311_obsH0055_x0271,0.025,0.03324710995189101,0.0052818825385392105,0.10220702703192329
KNN,surrVal_014_H0269_obsH0068_x0351,0.025,0.028083926807119543,0.005348006225751628,0.12757179993593382
KNN,surrVal_015_H0363_obsH0041_x0240,0.025,0.030891745954257012,0.004130384140349825,0.08676083331925107
KNN,surrVal_016_H0282_obsH0054_x0220,0.025,0.023241498023634,0.004407158151055565,0.057114402563367805
KNN,surrVal_017_H0262_obsH0069_x0350,0.025,0.037474175021845114,0.005972762118819582,0.17924033362789657
KNN,surrVal_018_H0287_obsH0045_x0288,0.025,0.021320089303429872,0.003776577181128892,0.0691852330188531
KNN,surrVal_019_H0292_obsH0064_x0265,0.025,0.02354141839008531,0.004133186435908121,0.10631829441860345
KNN,surrVal_020_H0243_obsH0040_x0238,0.025,0.024157054722562722,0.003993525709028677,0.10485632732746182
KNN,surrVal_021_H0245_obsH0042_x0375,0.025,0.016556627057119182,0.0029412751566027877,0.04697533219798196
KNN,surrVal_022_H0293_obsH0052_x0280,0.025,0.031166888982625263,0.0046716049142607845,0.1814482492534977
KNN,surrVal_023_H0336_obsH0064_x0309,0.025,0.02998321514432472,0.004863296129683379,0.09016666135182066
KNN,surrVal_024_H0257_obsH0053_x0227,0.025,0.0356905120842999,0.005430283998784831,0.18865406719927305
KNN,surrVal_025_H0248_obsH0057_x0242,0.025,0.01835822399122432,0.0029241254437593254,0.060411450126363786
KNN,surrVal_026_H0251_obsH0030_x0253,0.025,0.024687956471522502,0.004348736749772863,0.13214726514888883
KNN,surrVal_027_H0258_obsH0061_x0348,0.025,0.03649282352138228,0.0057436111336217,0.18454530451955956
KNN,surrVal_028_H0284_obsH0052_x0357,0.025,0.020700308315226797,0.0034606755080890347,0.05953219231955346
KNN,surrVal_029_H0346_obsH0066_x0342,0.025,0.02546059943763721,0.003977368736089419,0.07742287396867759
KNN,surrVal_030_H0353_obsH0035_x0286,0.025,0.034510111534637136,0.00465764845824136,0.05083977668330089
KNN,surrVal_031_H0307_obsH0069_x0233,0.025,0.04050987652579379,0.006240415828444243,0.15127066640174144
KNN,surrVal_032_H0344_obsH0050_x0276,0.025,0.023289320710469262,0.004039414841441933,0.12399102555673186
KNN,surrVal_033_H0317_obsH0060_x0336,0.025,0.025588229052398125,0.004606879540919365,0.14546604272847272
KNN,surrVal_034_H0357_obsH0039_x0234,0.025,0.031047499990457982,0.004542209759490595,0.03544187699496943
KNN,surrVal_035_H0327_obsH0068_x0308,0.025,0.03669952320986663,0.005850229859505281,0.10091136710801153
KNN,surrVal_036_H0318_obsH0031_x0379,0.025,0.024312205734109523,0.005109252884327084,0.12310513849905953
KNN,surrVal_037_H0311_obsH0067_x0320,0.025,0.030709949352272864,0.004753675198266707,0.07317044562233614
KNN,surrVal_038_H0321_obsH0047_x0332,0.025,0.02331237389712705,0.004286359458495149,0.09028196469511858
KNN,surrVal_039_H0297_obsH0034_x0301,0.025,0.026388857742455606,0.005004825945554874,0.11324149325184313
KNN,surrVal_040_H0266_obsH0040_x0355,0.025,0.03795848035119744,0.006114841856945612,0.17925664690790552
KNN,surrVal_041_H0264_obsH0063_x0270,0.025,0.038714740995746406,0.006917002397646158,0.15887303492010868
KNN,surrVal_042_H0355_obsH0044_x0360,0.025,0.03674308095941292,0.00514450065496269,0.10228289968980099
KNN,surrVal_043_H0347_obsH0056_x0326,0.025,0.032025105486836465,0.004847813265902683,0.13091681174345493
KNN,surrVal_044_H0272_obsH0045_x0230,0.025,0.03714378861828662,0.006156655336096526,0.21015423314814244
KNN,surrVal_045_H0330_obsH0072_x0333,0.025,0.039455331896732,0.005653056654606966,0.16797899624546153
KNN,surrVal_046_H0253_obsH0037_x0256,0.025,0.024555068551969903,0.004296801978750041,0.10106141647715304
KNN,surrVal_047_H0276_obsH0045_x0251,0.025,0.03324882416489637,0.005653974347874739,0.17060350668248744
KNN,surrVal_048_H0363_obsH0056_x0328,0.025,0.029185050348966936,0.004267891340657407,0.07956609201896787
KNN,surrVal_049_H0278_obsH0033_x0260,0.025,0.022494730293420303,0.004221453433510444,0.1025319749922467
KNN,surrVal_050_H0250_obsH0051_x0277,0.025,0.020051402371558967,0.0036301290888965158,0.0835491846036949
KNN,surrVal_051_H0328_obsH0058_x0225,0.025,0.03872909954318732,0.006784441678139522,0.15773604008548764
KNN,surrVal_052_H0283_obsH0041_x0316,0.025,0.02374800108874292,0.003903794773954405,0.07736231250557075
KNN,surrVal_053_H0270_obsH0043_x0296,0.025,0.027814351543680643,0.005540408667185356,0.10904553418169843
KNN,surrVal_054_H0305_obsH0048_x0343,0.025,0.03407250830184351,0.00496103732569576,0.11781006050996722
KNN,surrVal_055_H0314_obsH0032_x0267,0.025,0.016865665771637634,0.003152789526607692,0.05700669684996608
KNN,surrVal_056_H0296_obsH0047_x0299,0.025,0.025652771299212496,0.004351488114695116,0.13132285345407557
KNN,surrVal_057_H0261_obsH0049_x0313,0.025,0.033346982951649964,0.005314536655207067,0.139078151344703
KNN,surrVal_058_H0335_obsH0048_x0318,0.025,0.030447928278396864,0.004226080714639422,0.06607032228965766
KNN,surrVal_059_H0348_obsH0036_x0374,0.025,0.02639344672255376,0.004396323899813757,0.07170411147313699
KNN,surrVal_060_H0302_obsH0032_x0248,0.025,0.03822599632438336,0.006062262318345058,0.14765375599652122
KNN,surrVal_001_H0299_obsH0070_x0370,0.05,0.03595918930132004,0.006639826120794829,0.166219139840319
KNN,surrVal_002_H0325_obsH0052_x0283,0.05,0.0320894591799649,0.007392639671236229,0.18981270287304325
KNN,surrVal_003_H0332_obsH0059_x0322,0.05,0.035481939187534416,0.007672675708667132,0.13710667123078882
KNN,surrVal_004_H0240_obsH0035_x0369,0.05,0.029196787719209458,0.004683702732468159,0.16575985654951456
KNN,surrVal_005_H0322_obsH0057_x0303,0.05,0.032555636856180355,0.007724556813933043,0.16347168752109856
KNN,surrVal_006_H0342_obsH0062_x0366,0.05,0.036983698930399087,0.007785030675381883,0.11566261901507585
KNN,surrVal_007_H0305_obsH0063_x0340,0.05,0.03983717118771281,0.008623253538887193,0.19735848124768082
KNN,surrVal_008_H0275_obsH0066_x0246,0.05,0.028013158389469967,0.006244054620495799,0.09245391855551274
KNN,surrVal_009_H0359_obsH0038_x0362,0.05,0.03391407953710343,0.006918358194449598,0.0832262040563698
KNN,surrVal_010_H0351_obsH0059_x0293,0.05,0.032777533112987096,0.00704426673860796,0.1882664883709354
KNN,surrVal_011_H0339_obsH0071_x0292,0.05,0.030087079853909973,0.0062548221131202494,0.03809890761272544
KNN,surrVal_012_H0290_obsH0038_x0258,0.05,0.03377237294223015,0.006248922847137701,0.14128150537465345
KNN,surrVal_013_H0311_obsH0055_x0271,0.05,0.03655038841859735,0.008106717152770705,0.1344609106947086
KNN,surrVal_014_H0269_obsH0068_x0351,0.05,0.033004712437400247,0.006605809259449001,0.11909561936295492
KNN,surrVal_015_H0363_obsH0041_x0240,0.05,0.04108856571593716,0.008154816841200839,0.15260616970801216
KNN,surrVal_016_H0282_obsH0054_x0220,0.05,0.020573299518331367,0.005148473145755861,0.061957539620893086
KNN,surrVal_017_H0262_obsH0069_x0350,0.05,0.040052086628616985,0.007195171161786848,0.21266037696505166
KNN,surrVal_018_H0287_obsH0045_x0288,0.05,0.021979572477635958,0.004740915497744489,0.06328043830157784
KNN,surrVal_019_H0292_obsH0064_x0265,0.05,0.025022284459378694,0.005276509999727108,0.09668474348118401
KNN,surrVal_020_H0243_obsH0040_x0238,0.05,0.023028029729934837,0.004578350022211827,0.10880151051439489
KNN,surrVal_021_H0245_obsH0042_x0375,0.05,0.014855824003912617,0.003328751755308795,0.05171503131419134
KNN,surrVal_022_H0293_obsH0052_x0280,0.05,0.035499684377102034,0.006256846231652609,0.17941663417951684
KNN,surrVal_023_H0336_obsH0064_x0309,0.05,0.03603819019107521,0.007498673918288859,0.11283261648858872
KNN,surrVal_024_H0257_obsH0053_x0227,0.05,0.0393106087502275,0.006635502336125805,0.20639615091636132
KNN,surrVal_025_H0248_obsH0057_x0242,0.05,0.016305071818856487,0.00341369568696598,0.05535773608700441
KNN,surrVal_026_H0251_obsH0030_x0253,0.05,0.027019503802473928,0.005211749391343417,0.1197810787137726
KNN,surrVal_027_H0258_obsH0061_x0348,0.05,0.039247368776610884,0.007098080502754904,0.20693366996765203
KNN,surrVal_028_H0284_obsH0052_x0357,0.05,0.017566992055940672,0.004358247709326464,0.06433312098081691
KNN,surrVal_029_H0346_obsH0066_x0342,0.05,0.030026440518720166,0.006407294372898244,0.13777420164374135
KNN,surrVal_030_H0353_obsH0035_x0286,0.05,0.03408644085311235,0.007292280657854496,0.1890495257569666
KNN,surrVal_031_H0307_obsH0069_x0233,0.05,0.039568278433191016,0.008479053283681884,0.19146284639020364
KNN,surrVal_032_H0344_obsH0050_x0276,0.05,0.03410081981640416,0.00708191265615666,0.11018480056331392
KNN,surrVal_033_H0317_obsH0060_x0336,0.05,0.03583195361928666,0.007539629913871844,0.12628124917365932
KNN,surrVal_034_H0357_obsH0039_x0234,0.05,0.037482088997447434,0.0077461041551432335,0.1270495132788637
KNN,surrVal_035_H0327_obsH0068_x0308,0.05,0.03283446650988903,0.007434326454260036,0.1862034053094593
KNN,surrVal_036_H0318_obsH0031_x0379,0.05,0.03679648557525562,0.008125999146179532,0.10227063430085556
KNN,surrVal_037_H0311_obsH0067_x0320,0.05,0.03302783068027048,0.0072973261922001775,0.11724455231883468
KNN,surrVal_038_H0321_obsH0047_x0332,0.05,0.028425554313082732,0.006699464340751863,0.12634045199276564
KNN,surrVal_039_H0297_obsH0034_x0301,0.05,0.02992807698586096,0.006399523364855228,0.1172517282263032
KNN,surrVal_040_H0266_obsH0040_x0355,0.05,0.041862443399129076,0.007641686151980195,0.21914275105658704
KNN,surrVal_041_H0264_obsH0063_x0270,0.05,0.042291438586338936,0.00843879853032755,0.19284046809933292
KNN,surrVal_042_H0355_obsH0044_x0360,0.05,0.03847154877078969,0.007978277750305372,0.2098401527434619
KNN,surrVal_043_H0347_obsH0056_x0326,0.05,0.033714396987295475,0.007343899798737484,0.1845715599591044
KNN,surrVal_044_H0272_obsH0045_x0230,0.05,0.040969773869819655,0.007103332453087912,0.19864844454494496
KNN,surrVal_045_H0330_obsH0072_x0333,0.05,0.03440066558988512,0.00691825585830411,0.21262054685477594
KNN,surrVal_046_H0253_obsH0037_x0256,0.05,0.02595335879132562,0.004935065600976025,0.10018307783450044
KNN,surrVal_047_H0276_obsH0045_x0251,0.05,0.03674061723886041,0.007160237693227671,0.16093833848117384
KNN,surrVal_048_H0363_obsH0056_x0328,0.05,0.03920523405498953,0.008184063127403806,0.13173577565888925
KNN,surrVal_049_H0278_obsH0033_x0260,0.05,0.02694368228378501,0.0057109786819678245,0.09047324603900984
KNN,surrVal_050_H0250_obsH0051_x0277,0.05,0.019673319075923817,0.004410838177847464,0.0815901725475492
KNN,surrVal_051_H0328_obsH0058_x0225,0.05,0.034003954201814665,0.007925789607155788,0.20215434208944985
KNN,surrVal_052_H0283_obsH0041_x0316,0.05,0.02093266070715153,0.004965044396203693,0.08154131585901034
KNN,surrVal_053_H0270_obsH0043_x0296,0.05,0.03463219953507643,0.0070574904900304785,0.12164258107491813
KNN,surrVal_054_H0305_obsH0048_x0343,0.05,0.034496260067994264,0.007236643139353818,0.17620167227687294
KNN,surrVal_055_H0314_obsH0032_x0267,0.05,0.029697765620775942,0.006534537961089403,0.06065310860708349
KNN,surrVal_056_H0296_obsH0047_x0299,0.05,0.03182018243751098,0.00576782267471555,0.14467420773087974
KNN,surrVal_057_H0261_obsH0049_x0313,0.05,0.035283291820408014,0.006698013087804143,0.1728712711052235
KNN,surrVal_058_H0335_obsH0048_x0318,0.05,0.033926801108972976,0.006752978405628727,0.12354318892958875
