target,target_label,model_name,target_transform,train_rmse,train_mae,train_normalised_rmse,train_r2,train_max_abs_error,validation_rmse,validation_mae,validation_normalised_rmse,validation_r2,validation_max_abs_error
area_average_p_rgh_top_0p01_mean_Pa,Area-average top 1% pressure [Pa],poly3_ridge,raw,642.9059682127815,497.4925365846949,0.15196489762728357,0.2803092943207368,2655.256493270498,588.8858514150256,428.9810508894741,0.2144773640326983,0.14736180148882416,1978.0742892496996
area_average_p_rgh_top_0p05_mean_Pa,Area-average top 5% pressure [Pa],poly3_ridge,raw,135.5306482977222,106.69426490230447,0.09856984990747648,0.7572330031068892,547.155654770828,122.37696548874956,88.72073064354133,0.11248960400301355,0.7081943451979592,440.14704364309273
area_average_p_rgh_rolling_0p025s_peak_mean_Pa,Area-average 0.025 s rolling peak pressure [Pa],knn_distance,log1p,4.1022534204119596e-13,3.4271775569723317e-13,2.2421756799428857e-16,1.0,9.094947017729282e-13,148.84628080752302,79.18669384179756,0.13416420042014504,0.5781162644942499,806.2133742219194
area_average_p_rgh_rolling_0p05s_peak_mean_Pa,Area-average 0.050 s rolling peak pressure [Pa],rbf_svr,log1p,50.65244314867689,25.992538692329674,0.04490844194586498,0.9498438209231512,499.5040651013444,47.63514189512349,24.63109592925121,0.06166643708036274,0.938246402422695,293.7263692930387
maximum_p_rgh_top_0p01_mean_Pa,Local maximum top 1% pressure [Pa],knn_distance,log1p,2.7413801209511745e-12,2.377148688453149e-12,4.0793355532794713e-16,1.0,6.366462912410498e-12,661.0798259383514,434.0053993908607,0.1621498819682451,0.3042158333891085,2809.675885196224
maximum_p_rgh_top_0p05_mean_Pa,Local maximum top 5% pressure [Pa],poly3_ridge,raw,198.3543237341686,144.38977590919305,0.06322978671061857,0.8816598154222993,1211.3749187268313,159.7539979734101,110.9252618121947,0.07775397087261188,0.8970886787662652,688.9452956706828
maximum_p_rgh_rolling_0p025s_peak_mean_Pa,Local maximum 0.025 s rolling peak pressure [Pa],poly3_ridge,raw,89.90082352573911,46.74252603622646,0.029413501630811308,0.9725015828337871,757.089603181912,60.43135584568342,37.112077418599156,0.032176503308990495,0.9837818179210052,234.74206195316765
maximum_p_rgh_rolling_0p05s_peak_mean_Pa,Local maximum 0.050 s rolling peak pressure [Pa],poly3_ridge,log1p,32.43021260859589,19.58170189995183,0.012308416140310356,0.9962216996851675,363.2314998292859,27.329080498878913,21.029203801387574,0.014914017668204615,0.9969743126953224,70.70738015663028
area_average_pressure_impulse_Pa_s,Area-average pressure impulse [Pa s],poly3_ridge,log1p,21.316980230259183,16.94186995270734,0.028546477938373217,0.9847090354225336,57.67858931447245,19.18055295174663,14.799779061284145,0.036646249743698865,0.980355660331912,70.11698728746182
maximum_pressure_impulse_Pa_s,Maximum-pressure impulse [Pa s],knn_distance,log1p,5.230358252074048e-13,4.381749255626134e-13,4.1520485099901664e-16,1.0,9.094947017729282e-13,42.65561519309536,34.72551533657481,0.04148912786192358,0.9673957475471011,93.09260184250297
first_distributed_wetting_time_s,First distributed wetting time [s],gaussian_process_matern,raw,0.012324633365211416,0.007033965942869649,0.025946596558339825,0.9931994077848436,0.06486621399643216,0.023553591573049846,0.014963460297464355,0.05292941926528056,0.9735176628727172,0.07657500750588475
