snapshot_index,case_name,dataset_split,time_s,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m
0,surrGrid_H0240_obsH0030_x0220,training_grid,0.0,0.24,0.03,0.22,0.024
1,surrGrid_H0240_obsH0030_x0220,training_grid,0.025,0.24,0.03,0.22,0.024
2,surrGrid_H0240_obsH0030_x0220,training_grid,0.05,0.24,0.03,0.22,0.024
3,surrGrid_H0240_obsH0030_x0220,training_grid,0.075,0.24,0.03,0.22,0.024
4,surrGrid_H0240_obsH0030_x0220,training_grid,0.1,0.24,0.03,0.22,0.024
5,surrGrid_H0240_obsH0030_x0220,training_grid,0.125,0.24,0.03,0.22,0.024
6,surrGrid_H0240_obsH0030_x0220,training_grid,0.15,0.24,0.03,0.22,0.024
7,surrGrid_H0240_obsH0030_x0220,training_grid,0.175,0.24,0.03,0.22,0.024
8,surrGrid_H0240_obsH0030_x0220,training_grid,0.2,0.24,0.03,0.22,0.024
9,surrGrid_H0240_obsH0030_x0220,training_grid,0.225,0.24,0.03,0.22,0.024
10,surrGrid_H0240_obsH0030_x0220,training_grid,0.25,0.24,0.03,0.22,0.024
11,surrGrid_H0240_obsH0030_x0220,training_grid,0.275,0.24,0.03,0.22,0.024
12,surrGrid_H0240_obsH0030_x0220,training_grid,0.3,0.24,0.03,0.22,0.024
13,surrGrid_H0240_obsH0030_x0220,training_grid,0.325,0.24,0.03,0.22,0.024
14,surrGrid_H0240_obsH0030_x0220,training_grid,0.35,0.24,0.03,0.22,0.024
15,surrGrid_H0240_obsH0030_x0220,training_grid,0.375,0.24,0.03,0.22,0.024
16,surrGrid_H0240_obsH0030_x0220,training_grid,0.4,0.24,0.03,0.22,0.024
17,surrGrid_H0240_obsH0030_x0220,training_grid,0.425,0.24,0.03,0.22,0.024
18,surrGrid_H0240_obsH0030_x0220,training_grid,0.45,0.24,0.03,0.22,0.024
19,surrGrid_H0240_obsH0030_x0220,training_grid,0.475,0.24,0.03,0.22,0.024
20,surrGrid_H0240_obsH0030_x0220,training_grid,0.5,0.24,0.03,0.22,0.024
21,surrGrid_H0240_obsH0030_x0220,training_grid,0.525,0.24,0.03,0.22,0.024
22,surrGrid_H0240_obsH0030_x0220,training_grid,0.55,0.24,0.03,0.22,0.024
23,surrGrid_H0240_obsH0030_x0220,training_grid,0.575,0.24,0.03,0.22,0.024
24,surrGrid_H0240_obsH0030_x0220,training_grid,0.6,0.24,0.03,0.22,0.024
25,surrGrid_H0240_obsH0030_x0220,training_grid,0.625,0.24,0.03,0.22,0.024
26,surrGrid_H0240_obsH0030_x0220,training_grid,0.65,0.24,0.03,0.22,0.024
