case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water
surrGrid_H0240_obsH0030_x0220,training_grid,0.24,0.03,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1107.499,0.1,3443.624,0.1,0.9969235,0.925,1.0,0.095,0.085,0.14,1.415,1.3599999999999999,865.4145114825,1374.6693537025008,627.7624,913.588,0.9965092,1.0
surrGrid_H0240_obsH0030_x0250,training_grid,0.24,0.03,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1942.295,0.33,3713.476,0.115,0.9843182,0.775,1.0,0.11,0.105,0.17,1.395,1.33,868.7632415100005,1392.1804313000005,674.8259,866.9177,0.9714804,1.0
surrGrid_H0240_obsH0030_x0275,training_grid,0.24,0.03,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,5871.641,0.34,9022.408,0.34,0.9999907,0.75,1.0,0.125,0.12,0.205,1.38,1.295,921.4461794290003,1660.3928334025013,693.7422,880.1107,0.9921568,1.0
surrGrid_H0240_obsH0030_x0292,training_grid,0.24,0.03,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,4394.307,0.345,6076.687,0.345,0.9999745,0.765,1.0,0.135,0.13,0.23,1.37,1.27,909.7796964775001,1620.5386114849991,729.7021,892.8237,0.9917125,1.0
surrGrid_H0240_obsH0030_x0320,training_grid,0.24,0.03,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1835.697,0.345,4403.451,0.15,0.9999427,0.845,1.0,0.15,0.145,0.275,1.355,1.225,874.7462120574996,1546.6891493914998,720.3408,1035.097,0.9982266,1.0
surrGrid_H0240_obsH0030_x0350,training_grid,0.24,0.03,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2197.672,0.34,4865.223,0.165,0.9999573,1.32,1.0,0.165,0.16,0.47,1.34,1.03,869.1138407567499,1540.6126379857487,611.8997,854.6145,0.9999557,1.0
surrGrid_H0240_obsH0030_x0380,training_grid,0.24,0.03,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2504.241,0.34,5059.364,0.18,0.9999366,1.085,1.0,0.18,0.175,0.525,1.325,0.975,866.9963041677499,1561.4526000687492,579.3188,715.5788,0.9985835,1.0
surrGrid_H0240_obsH0036_x0220,training_grid,0.24,0.036,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1307.739,0.3,3826.407,0.1,0.9972919,0.87,1.0,0.095,0.085,0.15,1.415,1.35,894.6548577500001,1424.0150671150006,631.8172,896.9973,0.9946397,1.0
surrGrid_H0240_obsH0036_x0250,training_grid,0.24,0.036,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1266.898,0.12,3898.964,0.115,0.9999254,1.13,1.0,0.11,0.105,0.185,1.395,1.315,892.1739862949997,1500.4374936,689.3558,751.7149,0.9999061,1.0
surrGrid_H0240_obsH0036_x0275,training_grid,0.24,0.036,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,5006.154,0.355,6976.217,0.355,0.999975,0.875,1.0,0.125,0.12,0.24,1.38,1.26,930.9448850720006,1673.5269500249985,763.9157,811.5724,0.9843249,1.0
surrGrid_H0240_obsH0036_x0292,training_grid,0.24,0.036,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1317.135,0.145,4397.162,0.135,0.9998853,0.77,1.0,0.135,0.13,0.285,1.37,1.215,905.0373924002489,1563.2060859774979,627.0707,727.4126,0.9705371,1.0
surrGrid_H0240_obsH0036_x0320,training_grid,0.24,0.036,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3590.523,0.365,4608.783,0.365,0.9999952,0.945,1.0,0.15,0.145,0.455,1.355,1.045,914.4513947130004,1601.0470273925005,781.4063,975.2042,0.9926798,1.0
surrGrid_H0240_obsH0036_x0350,training_grid,0.24,0.036,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2073.131,0.365,4926.791,0.165,0.9999743,0.84,1.0,0.165,0.16,0.51,1.34,0.99,880.6027923744997,1559.430539775001,695.6301,929.5724,0.9557882,1.0
surrGrid_H0240_obsH0036_x0380,training_grid,0.24,0.036,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2463.669,0.365,5134.414,0.18,0.9999521,0.895,1.0,0.18,0.175,0.545,1.325,0.955,888.0206798932502,1575.6704869227501,672.3873,767.5222,0.9919834,1.0
surrGrid_H0240_obsH0042_x0220,training_grid,0.24,0.042,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3034.951,0.32,4546.403,0.32,0.9848585,1.0,1.0,0.095,0.085,0.16,1.415,1.34,909.6427763899999,1438.973417745,639.443,832.5771,0.9507817,1.0
surrGrid_H0240_obsH0042_x0250,training_grid,0.24,0.042,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2875.672,0.355,4064.971,0.355,0.9997635,0.875,1.0,0.11,0.105,0.21,1.395,1.29,943.4254312074991,1639.1137922024982,585.6723,660.2298,0.9981355,1.0
surrGrid_H0240_obsH0042_x0275,training_grid,0.24,0.042,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2303.751,0.37,4133.975,0.125,0.9998875,0.82,1.0,0.125,0.12,0.29,1.38,1.21,939.4555451795002,1617.7835033600006,622.0368,785.597,0.9612665,0.9999999
surrGrid_H0240_obsH0042_x0292,training_grid,0.24,0.042,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1369.922,0.15,4301.48,0.135,0.9999225,0.83,1.0,0.135,0.13,0.35,1.37,1.15,897.9025643822501,1576.0862316400007,609.7441,763.6225,0.8287104,1.0
surrGrid_H0240_obsH0042_x0320,training_grid,0.24,0.042,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3509.366,0.39,4533.763,0.39,0.9998045,0.805,1.0,0.15,0.145,0.48,1.355,1.02,863.8904985539996,1523.0139569475011,682.7731,843.6875,0.8301609,1.0
surrGrid_H0240_obsH0042_x0350,training_grid,0.24,0.042,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2449.582,0.395,4980.706,0.165,0.9999717,0.825,1.0,0.165,0.16,0.505,1.34,0.995,834.2750020187495,1497.9249690660015,680.4921,828.5459,0.9214064,1.0
surrGrid_H0240_obsH0042_x0380,training_grid,0.24,0.042,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2716.485,0.39,5196.785,0.18,0.9999791,0.9,1.0,0.18,0.175,0.54,1.325,0.96,852.4575175639992,1478.9732888772503,593.7371,699.9437,0.9974447,1.0
