case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water,area_average_p_rgh_percentile_90_Pa,area_average_p_rgh_percentile_95_Pa,area_average_p_rgh_percentile_99_Pa,area_average_p_rgh_top_0p01_mean_Pa,area_average_p_rgh_top_0p02_mean_Pa,area_average_p_rgh_top_0p05_mean_Pa,area_average_p_rgh_top_0p1_mean_Pa,area_average_p_rgh_rolling_0p025s_peak_mean_Pa,area_average_p_rgh_rolling_0p025s_peak_time_s,area_average_p_rgh_rolling_0p05s_peak_mean_Pa,area_average_p_rgh_rolling_0p05s_peak_time_s,area_average_p_rgh_rolling_0p1s_peak_mean_Pa,area_average_p_rgh_rolling_0p1s_peak_time_s,area_average_alpha_percentile_95,maximum_p_rgh_percentile_90_Pa,maximum_p_rgh_percentile_95_Pa,maximum_p_rgh_percentile_99_Pa,maximum_p_rgh_top_0p01_mean_Pa,maximum_p_rgh_top_0p02_mean_Pa,maximum_p_rgh_top_0p05_mean_Pa,maximum_p_rgh_top_0p1_mean_Pa,maximum_p_rgh_rolling_0p025s_peak_mean_Pa,maximum_p_rgh_rolling_0p025s_peak_time_s,maximum_p_rgh_rolling_0p05s_peak_mean_Pa,maximum_p_rgh_rolling_0p05s_peak_time_s,maximum_p_rgh_rolling_0p1s_peak_mean_Pa,maximum_p_rgh_rolling_0p1s_peak_time_s,maximum_alpha_percentile_95
surrGrid_H0240_obsH0030_x0220,training_grid,0.24,0.03,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1107.499,0.1,3443.624,0.1,0.9969235,0.925,1.0,0.095,0.085,0.14,1.415,1.3599999999999999,865.4145114825,1374.6693537025008,627.7624,913.588,0.9965092,1.0,725.2371500000002,793.2266950000001,934.4796019999998,1053.5538,983.1219499999999,889.4799066666667,821.5599599999999,983.1219499999999,0.11,905.4132909090908,0.12,803.5124714285715,0.145,0.994575705,1458.6794000000007,2206.2417500000006,3078.746889999998,3371.8763333333336,3168.6666666666665,2760.9222,2279.9207333333334,3168.6666666666674,0.105,2909.8008181818186,0.115,2555.210476190476,0.14,1.0
surrGrid_H0240_obsH0030_x0250,training_grid,0.24,0.03,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1942.295,0.33,3713.476,0.115,0.9843182,0.775,1.0,0.11,0.105,0.17,1.395,1.33,868.7632415100005,1392.1804313000005,674.8259,866.9177,0.9714804,1.0,683.2164100000001,743.4335100000003,1117.90474,1407.661,1243.6508333333334,1022.2591800000001,866.4651366666669,1064.1557166666666,0.13,975.1948272727273,0.135,836.7479952380951,0.16,0.982780135,1457.7198000000008,2357.557650000001,3429.9411999999993,3643.875,3449.787333333333,3017.3237999999997,2433.2654666666667,3449.787333333334,0.125,3182.226090909091,0.13,2728.9792380952385,0.155,1.0
surrGrid_H0240_obsH0030_x0275,training_grid,0.24,0.03,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,5871.641,0.34,9022.408,0.34,0.9999907,0.75,1.0,0.125,0.12,0.205,1.38,1.295,921.4461794290003,1660.3928334025013,693.7422,880.1107,0.9921568,1.0,839.24248,888.7310250000002,1145.17976,2748.7996666666663,1916.8954999999999,1338.7476333333332,1097.4346566666666,1560.7379000000008,0.345,1086.7084000000004,0.355,858.8474,0.175,0.999925015,1861.7814000000008,2385.065100000001,3640.094859999998,5676.062666666666,4591.647166666667,3583.8804,2838.408366666666,3636.4948333333336,0.135,3358.6937272727273,0.145,2831.3306190476183,0.17,1.0
surrGrid_H0240_obsH0030_x0292,training_grid,0.24,0.03,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,4394.307,0.345,6076.687,0.345,0.9999745,0.765,1.0,0.135,0.13,0.23,1.37,1.27,909.7796964775001,1620.5386114849991,729.7021,892.8237,0.9917125,1.0,877.4898100000001,927.5429150000001,1163.4329899999998,2281.583,1691.1303333333333,1259.6196000000002,1080.8601966666668,1315.4076166666664,0.345,1037.6718090909092,0.16,905.7417476190478,0.715,0.9998926149999999,1862.3477000000003,2391.795400000002,3718.178489999996,4839.173,4208.332166666667,3456.1484666666674,2738.5787333333333,3760.406166666667,0.145,3446.810454545455,0.155,2881.7532380952384,0.18,1.0
surrGrid_H0240_obsH0030_x0320,training_grid,0.24,0.03,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1835.697,0.345,4403.451,0.15,0.9999427,0.845,1.0,0.15,0.145,0.275,1.355,1.225,874.7462120574996,1546.6891493914998,720.3408,1035.097,0.9982266,1.0,886.2077400000001,948.8282600000001,1173.7910899999997,1462.3919999999998,1282.7408333333333,1103.36318,1012.5301633333333,1148.5053333333333,0.165,1049.715581818182,0.175,930.6139333333336,0.74,0.999666175,1950.6387000000004,2288.064350000001,3834.6352299999958,4334.161666666667,3985.1513333333332,3292.1967333333328,2686.969133333333,3985.1513333333337,0.16,3565.704999999999,0.17,2939.609619047619,0.195,1.0
surrGrid_H0240_obsH0030_x0350,training_grid,0.24,0.03,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2197.672,0.34,4865.223,0.165,0.9999573,1.32,1.0,0.165,0.16,0.47,1.34,1.03,869.1138407567499,1540.6126379857487,611.8997,854.6145,0.9999557,1.0,857.8873300000001,998.2504100000001,1244.18777,1619.3730000000003,1409.0473333333337,1194.8376,1067.5630466666667,1187.8745000000001,0.18,1072.6487818181818,0.19,953.911819047619,0.775,0.999843955,2017.2154000000005,2478.6212,3935.127709999998,4533.544333333334,4126.900500000001,3372.158266666666,2815.018366666666,4126.9005,0.175,3647.370818181818,0.185,2989.1765714285707,0.21,1.0
surrGrid_H0240_obsH0030_x0380,training_grid,0.24,0.03,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2504.241,0.34,5059.364,0.18,0.9999366,1.085,1.0,0.18,0.175,0.525,1.325,0.975,866.9963041677499,1561.4526000687492,579.3188,715.5788,0.9985835,1.0,841.15179,928.046605,1247.0578499999997,1744.1333333333332,1481.0763333333332,1208.7384200000001,1040.5280033333333,1211.2836666666665,0.195,1083.4515727272728,0.205,898.7863761904761,0.23,0.999911935,1916.481000000001,2376.4953000000014,4038.968549999998,4670.713333333333,4228.8425,3422.832866666666,2783.1095333333333,4228.8425,0.19,3696.3931818181813,0.2,3015.5845714285715,0.225,1.0
surrGrid_H0240_obsH0036_x0220,training_grid,0.24,0.036,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1307.739,0.3,3826.407,0.1,0.9972919,0.87,1.0,0.095,0.085,0.15,1.415,1.35,894.6548577500001,1424.0150671150006,631.8172,896.9973,0.9946397,1.0,730.16668,788.9762000000001,1193.6850599999996,1265.8386666666665,1183.7703333333334,992.2005466666666,872.7864366666665,1128.630433333333,0.115,1015.9588636363634,0.125,884.3643999999999,0.145,0.993839935,1455.2834000000005,2210.817600000001,3353.0125099999996,3582.7573333333335,3393.093833333334,2910.800066666667,2349.7093999999997,3393.093833333333,0.105,3099.012818181819,0.115,2659.796523809524,0.14,1.0
surrGrid_H0240_obsH0036_x0250,training_grid,0.24,0.036,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1266.898,0.12,3898.964,0.115,0.9999254,1.13,1.0,0.11,0.105,0.185,1.395,1.315,892.1739862949997,1500.4374936,689.3558,751.7149,0.9999061,1.0,696.51793,849.2370350000003,1173.9359999999995,1250.1866666666665,1197.4134999999999,1065.6355266666667,899.7673866666663,1183.5803333333333,0.13,1083.3246727272726,0.14,915.8147571428569,0.16,0.99990289,1640.081300000001,2289.1907000000015,3705.9836899999996,3824.554666666667,3670.536666666667,3143.181533333334,2528.970466666667,3670.536666666667,0.125,3359.61990909091,0.13,2834.104952380953,0.155,1.0
surrGrid_H0240_obsH0036_x0275,training_grid,0.24,0.036,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,5006.154,0.355,6976.217,0.355,0.999975,0.875,1.0,0.125,0.12,0.24,1.38,1.26,930.9448850720006,1673.5269500249985,763.9157,811.5724,0.9843249,1.0,894.8938600000001,924.85286,1232.6274999999998,2517.128666666667,1850.8730000000003,1342.048166666667,1127.5026500000001,1426.3907000000002,0.355,1106.2858,0.155,932.8460952380952,0.175,0.9998628150000001,2027.8025000000002,2419.3630500000013,3963.5768499999995,5036.743,4403.2755,3577.3185999999996,2853.9299000000005,3817.585166666667,0.14,3519.1236363636363,0.145,2927.4282380952377,0.17,1.0
